,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,index_basic,NA,,True,index
1,name,object,index_basic,NA,,True,index
2,market,object,index_basic,NA,,True,index
3,publisher,object,index_basic,NA,,True,index
4,category,object,index_basic,NA,,True,index
5,base_date,object,index_basic,NA,,True,index
6,base_point,object,index_basic,NA,,True,index
7,list_date,object,index_basic,NA,,True,index
8,ts_code,object,index_daily,daily,,True,index
9,trade_date,object,index_daily,daily,,True,index
10,close,object,index_daily,daily,,True,index
11,open,object,index_daily,daily,,True,index
12,high,object,index_daily,daily,,True,index
13,low,object,index_daily,daily,,True,index
14,pre_close,object,index_daily,daily,,True,index
15,change,object,index_daily,daily,,True,index
16,pct_chg,object,index_daily,daily,,True,index
17,vol,object,index_daily,daily,,True,index
18,amount,object,index_daily,daily,,True,index
19,ts_code,object,index_weekly,weekly,,True,index
20,trade_date,object,index_weekly,weekly,,True,index
21,close,object,index_weekly,weekly,,True,index
22,open,object,index_weekly,weekly,,True,index
23,high,object,index_weekly,weekly,,True,index
24,low,object,index_weekly,weekly,,True,index
25,pre_close,object,index_weekly,weekly,,True,index
26,change,object,index_weekly,weekly,,True,index
27,pct_chg,object,index_weekly,weekly,,True,index
28,vol,object,index_weekly,weekly,,True,index
29,amount,object,index_weekly,weekly,,True,index
30,ts_code,object,index_monthly,monthly,,True,index
31,trade_date,object,index_monthly,monthly,,True,index
32,close,object,index_monthly,monthly,,True,index
33,open,object,index_monthly,monthly,,True,index
34,high,object,index_monthly,monthly,,True,index
35,low,object,index_monthly,monthly,,True,index
36,pre_close,object,index_monthly,monthly,,True,index
37,change,object,index_monthly,monthly,,True,index
38,pct_chg,object,index_monthly,monthly,,True,index
39,vol,object,index_monthly,monthly,,True,index
40,amount,object,index_monthly,monthly,,True,index
41,index_code,object,index_weight,NA,,True,index
42,con_code,object,index_weight,NA,,True,index
43,trade_date,object,index_weight,NA,,True,index
44,weight,object,index_weight,NA,,True,index
45,ts_code,object,index_dailybasic,NA,,True,index
46,trade_date,object,index_dailybasic,NA,,True,index
47,total_mv,object,index_dailybasic,NA,,True,index
48,float_mv,object,index_dailybasic,NA,,True,index
49,total_share,object,index_dailybasic,NA,,True,index
50,float_share,object,index_dailybasic,NA,,True,index
51,free_share,object,index_dailybasic,NA,,True,index
52,turnover_rate,object,index_dailybasic,NA,,True,index
53,turnover_rate_f,object,index_dailybasic,NA,,True,index
54,pe,object,index_dailybasic,NA,,True,index
55,pe_ttm,object,index_dailybasic,NA,,True,index
56,pb,object,index_dailybasic,NA,,True,index
57,src,object,index_classify,NA,,False,index
58,parent_code,object,index_classify,NA,,True,index
59,industry_name,object,index_classify,NA,,True,index
60,index_code,object,index_classify,NA,,True,index
61,industry_code,object,index_classify,NA,,True,index
62,level,object,index_classify,NA,,True,index
63,is_pub,object,index_classify,NA,,True,index
64,in_date,object,index_member,NA,,True,index
65,con_code,object,index_member,NA,,True,index
66,is_new,object,index_member,NA,,False,index
67,index_code,object,index_member,NA,,True,index
68,index_name,object,index_member,NA,,False,index
69,out_date,object,index_member,NA,,True,index
70,trade_date,object,daily_info,NA,,True,index
71,ts_code,object,daily_info,NA,,True,index
72,ts_name,object,daily_info,NA,,True,index
73,com_count,object,daily_info,NA,,True,index
74,total_share,object,daily_info,NA,,True,index
75,float_share,object,daily_info,NA,,True,index
76,total_mv,object,daily_info,NA,,True,index
77,float_mv,object,daily_info,NA,,True,index
78,amount,object,daily_info,NA,,True,index
79,vol,object,daily_info,NA,,True,index
80,trans_count,object,daily_info,NA,,True,index
81,pe,object,daily_info,NA,,True,index
82,tr,object,daily_info,NA,,True,index
83,exchange,object,daily_info,NA,,True,index
84,trade_date,object,sz_daily_info,NA,,True,index
85,ts_code,object,sz_daily_info,NA,,True,index
86,count,object,sz_daily_info,NA,,True,index
87,amount,object,sz_daily_info,NA,,True,index
88,vol,object,sz_daily_info,NA,,True,index
89,total_share,object,sz_daily_info,NA,,True,index
90,total_mv,object,sz_daily_info,NA,,True,index
91,float_share,object,sz_daily_info,NA,,True,index
92,float_mv,object,sz_daily_info,NA,,True,index
93,ts_code,object,ths_index,NA,,True,index
94,name,object,ths_index,NA,,True,index
95,count,object,ths_index,NA,,True,index
96,exchange,object,ths_index,NA,,True,index
97,list_date,object,ths_index,NA,,True,index
98,type,object,ths_index,NA,,True,index
99,open,object,ths_daily,daily,,True,index
100,low,object,ths_daily,daily,,True,index
101,close,object,ths_daily,daily,,True,index
