,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,curr_type,object,stock_basic,NA,,False,stock
1,market,object,stock_basic,NA,,True,stock
2,ts_code,object,stock_basic,NA,,True,stock
3,list_status,object,stock_basic,NA,,False,stock
4,is_hs,object,stock_basic,NA,,False,stock
5,name,object,stock_basic,NA,,True,stock
6,fullname,object,stock_basic,NA,,False,stock
7,area,object,stock_basic,NA,,True,stock
8,exchange,object,stock_basic,NA,,False,stock
9,enname,object,stock_basic,NA,,False,stock
10,cnspell,object,stock_basic,NA,,False,stock
11,delist_date,object,stock_basic,NA,,False,stock
12,list_date,object,stock_basic,NA,,True,stock
13,symbol,object,stock_basic,NA,,True,stock
14,act_ent_type,object,stock_basic,NA,,False,stock
15,industry,object,stock_basic,NA,,True,stock
16,act_name,object,stock_basic,NA,,False,stock
17,is_open,int64,trade_cal,NA,,True,stock
18,pretrade_date,object,trade_cal,NA,,False,stock
19,exchange,object,trade_cal,NA,,True,stock
20,cal_date,object,trade_cal,NA,,True,stock
21,ts_code,object,daily,daily,,True,stock
22,trade_date,object,daily,daily,,True,stock
23,open,float64,daily,daily,,True,stock
24,high,float64,daily,daily,,True,stock
25,low,float64,daily,daily,,True,stock
26,close,float64,daily,daily,,True,stock
27,pre_close,float64,daily,daily,,True,stock
28,change,float64,daily,daily,,True,stock
29,pct_chg,float64,daily,daily,,True,stock
30,vol,float64,daily,daily,,True,stock
31,amount,float64,daily,daily,,True,stock
32,ts_code,object,weekly,weekly,,True,stock
33,trade_date,object,weekly,weekly,,True,stock
34,close,float64,weekly,weekly,,True,stock
35,open,float64,weekly,weekly,,True,stock
36,high,float64,weekly,weekly,,True,stock
37,low,float64,weekly,weekly,,True,stock
38,pre_close,float64,weekly,weekly,,True,stock
39,change,float64,weekly,weekly,,True,stock
40,pct_chg,float64,weekly,weekly,,True,stock
41,vol,float64,weekly,weekly,,True,stock
42,amount,float64,weekly,weekly,,True,stock
43,ts_code,object,monthly,monthly,,True,stock
44,trade_date,object,monthly,monthly,,True,stock
45,close,float64,monthly,monthly,,True,stock
46,open,float64,monthly,monthly,,True,stock
47,high,float64,monthly,monthly,,True,stock
48,low,float64,monthly,monthly,,True,stock
49,pre_close,float64,monthly,monthly,,True,stock
50,change,float64,monthly,monthly,,True,stock
51,pct_chg,float64,monthly,monthly,,True,stock
52,vol,float64,monthly,monthly,,True,stock
53,amount,float64,monthly,monthly,,True,stock
54,ts_code,object,pro_bar,NA,,True,stock
55,trade_date,object,pro_bar,NA,,True,stock
56,open,float64,pro_bar,NA,,True,stock
57,high,float64,pro_bar,NA,,True,stock
58,low,float64,pro_bar,NA,,True,stock
59,close,float64,pro_bar,NA,,True,stock
60,pre_close,float64,pro_bar,NA,,True,stock
61,change,float64,pro_bar,NA,,True,stock
62,pct_chg,float64,pro_bar,NA,,True,stock
63,vol,float64,pro_bar,NA,,True,stock
64,amount,float64,pro_bar,NA,,True,stock
65,ts_code,object,daily_basic,NA,,True,stock
66,trade_date,object,daily_basic,NA,,True,stock
67,close,float64,daily_basic,NA,,True,stock
68,turnover_rate,float64,daily_basic,NA,,True,stock
69,turnover_rate_f,float64,daily_basic,NA,,True,stock
