,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,023966.OF,大成元辰招利D,大成基金,招商银行,债券型,20250411,,,,,,0.5,0.15,,1.0,,,中债综合全价指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率调整)*5%+金融机构人民币活期存款基准利率(税后)*5%,L,债券型,契约型开放式,,20250411,20250414,O
1,023460.OF,广发安盈F,广发基金,中国银行,混合型,20250410,,,,,,0.6,0.1,,1.0,,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,,20250410,20250410,O
2,021401.OF,嘉实稳祥纯债E,嘉实基金,上海银行,债券型,20250410,,,,,,0.3,0.1,,1.0,,,一年期银行定期存款收益率(税后)+1%,L,债券型,契约型开放式,,20250410,20250410,O
3,023888.OF,交银裕道纯债一年定开C,交银施罗德基金,兴业银行,债券型,20250410,,,,,,0.3,0.1,,1.0,,,中债综合全价指数收益率,L,债券型,契约型开放式,,20250410,20250410,O
4,021935.OF,嘉实中债1-3政策金融债D,嘉实基金,浦发银行,债券型,20250410,,,,,,0.15,0.05,,1.0,,,中债1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20250410,20250410,O
5,023737.OF,富国上证科创板综合价格联接A,富国基金,交通银行,股票型,20250409,,,20250317,,7.805,0.15,0.05,,1.0,0.001,,上证科创板综合价格指数收益率*95%+银行活期存款利率(税后)*5%,I,被动指数型,契约型开放式,,,,O
6,023738.OF,富国上证科创板综合价格联接C,富国基金,交通银行,股票型,20250409,,,20250317,,5.0484,0.15,0.05,,1.0,0.001,,上证科创板综合价格指数收益率*95%+银行活期存款利率(税后)*5%,I,被动指数型,契约型开放式,,,,O
7,023954.OF,富国天瑞强势精选C,富国基金,中国农业银行,混合型,20250409,,,,,,1.2,0.2,,1.0,,,上证A股指数收益率*70%+上证国债指数收益率*25%+同业存款利率*5%,L,混合型,契约型开放式,,20250409,20250410,O
8,159225.OF,银华国证自由现金流ETF,银华基金,平安银行,股票型,20250409,,,20250324,,4.4574,0.5,0.1,,1.0,0.1,,国证自由现金流指数收益率,I,被动指数型,契约型开放式,,,,O
9,023739.OF,招商上证科创板综合联接A,招商基金,中国银行,股票型,20250408,,,20250317,,4.3458,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
10,023727.OF,博时上证科创板综合联接A,博时基金,中国银行,股票型,20250408,,,20250317,,3.5847,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
11,023740.OF,招商上证科创板综合联接C,招商基金,中国银行,股票型,20250408,,,20250317,,7.612,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
12,023728.OF,博时上证科创板综合联接C,博时基金,中国银行,股票型,20250408,,,20250317,,6.0479,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
13,023584.OF,中欧红利智选A,中欧基金,华泰证券,混合型,20250408,,,20250321,,2.4042,1.2,0.2,,1.0,0.0001,,中证红利指数收益率*70%+中证港股通高股息投资指数收益率*20%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,,,O
14,023692.OF,诺德安悦,诺德基金,青岛银行,债券型,20250408,,,20250328,,16.5025,0.3,0.05,,1.0,0.0001,,中债综合(全价)指数收益率*95%+沪深300指数收益率*5%,L,债券型,契约型开放式,,20250409,20250409,O
15,023948.OF,银华品质消费C,银华基金,建设银行,股票型,20250408,,,,,,1.2,0.2,,1.0,,,中证消费服务领先指数收益率*65%+中证港股通大消费主题指数收益率(使用估值汇率调整)*20%+中债综合全价指数收益率*15%,L,股票型,契约型开放式,,20250408,20250408,O
16,023875.OF,兴全合润C,兴证全球基金,招商银行,混合型,20250408,,,,,,1.2,0.2,,1.0,,,沪深300指数*80%+中证国债指数*20%,L,混合型,契约型开放式,,20250408,20250408,O
17,023732.OF,南方上证科创板综合联接C,南方基金,招商银行,股票型,20250408,,,20250317,,4.9902,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
18,023881.OF,兴全商业模式优选C,兴证全球基金,中国光大银行,混合型,20250408,,,,,,1.2,0.2,,1.0,,,沪深300指数*80%+中证国债指数*20%,L,混合型,契约型开放式,,20250408,20250408,O
19,023928.OF,中欧可转债E,中欧基金,中国工商银行,债券型,20250408,,,,,,1.0,0.2,,1.0,,,中证可转换债券指数*70%+中债综合指数收益率*20%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20250408,20250409,O
20,023585.OF,中欧红利智选C,中欧基金,华泰证券,混合型,20250408,,,20250321,,6.5644,1.2,0.2,,1.0,0.0001,,中证红利指数收益率*70%+中证港股通高股息投资指数收益率*20%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,,,O
21,023731.OF,南方上证科创板综合联接A,南方基金,招商银行,股票型,20250408,,,20250317,,1.5426,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
22,023757.OF,鹏华上证科创板综合联接A,鹏华基金,中国银行,股票型,20250408,,,20250317,,6.7692,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
23,023719.OF,华夏上证科创板综合联接A,华夏基金,建设银行,股票型,20250408,,,20250317,,29.496,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
24,023720.OF,华夏上证科创板综合联接C,华夏基金,建设银行,股票型,20250408,,,20250317,,19.4239,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
25,023729.OF,易方达上证科创板综合联接A,易方达基金,中国工商银行,股票型,20250408,,,20250317,,11.3947,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
26,023758.OF,鹏华上证科创板综合联接C,鹏华基金,中国银行,股票型,20250408,,,20250317,,4.9853,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
27,023730.OF,易方达上证科创板综合联接C,易方达基金,中国工商银行,股票型,20250408,,,20250317,,32.2302,0.15,0.05,,1.0,0.0001,,上证科创板综合指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
28,023317.OF,华泰保兴开元3个月持有A,华泰保兴基金,平安银行,债券型,20250408,,,20250317,,0.7531,0.3,0.05,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
29,023878.OF,国联安增瑞政策性金融债D,国联安基金,浙商银行,债券型,20250408,,,,,,0.25,0.08,,1.0,,,中债-金融债券总指数收益率,L,债券型,契约型开放式,,20250408,20250409,O
30,023318.OF,华泰保兴开元3个月持有C,华泰保兴基金,平安银行,债券型,20250408,,,20250317,,5.8814,0.3,0.05,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,,,O
31,023832.OF,华泰柏瑞中证油气产业联接A,华泰柏瑞基金,中信证券,股票型,20250408,,,20250403,,0.1001,0.5,0.1,,1.0,0.0001,,中证油气产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
