,ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
0,00001.HK,长和,长江和记实业有限公司,CK Hutchison Holdings Ltd.,CH,主板,L,19721101,,500.0,KYG217651051,HKD
1,00002.HK,中电控股,中电控股有限公司,CLP Holdings Ltd.,ZDKG,主板,L,19800102,,500.0,HK0002007356,HKD
2,00003.HK,香港中华煤气,香港中华煤气有限公司,The Hong Kong and China Gas Co. Ltd.,XGZHMQ,主板,L,19600411,,1000.0,HK0003000038,HKD
3,00004.HK,九龙仓集团,九龙仓集团有限公司,The Wharf (Holdings) Limited,JLCJT,主板,L,19210101,,1000.0,HK0004000045,HKD
4,00005.HK,汇丰控股,汇丰控股有限公司,HSBC Holdings plc,HFKG,主板,L,19800102,,400.0,GB0005405286,HKD
5,00006.HK,电能实业,电能实业有限公司,Power Assets Holdings Limited,DNSY,主板,L,19760816,,500.0,HK0006000050,HKD
6,00007.HK,智富资源投资,智富资源投资控股集团有限公司,Wisdom Wealth Resources Investment Holding Group Limited,ZFZYTZ,主板,L,20000908,,10000.0,BMG4643R1245,HKD
7,00008.HK,电讯盈科,电讯盈科有限公司,PCCW Ltd.,DXYK,主板,L,19941018,,1000.0,HK0008011667,HKD
8,00009.HK,金奥国际,金奥国际股份有限公司,KEYNE LTD,JAGJ,主板,L,20010912,,6000.0,BMG525871056,HKD
9,00010.HK,恒隆集团,恒隆集团有限公司,Hang Lung Group Ltd.,HLJT,主板,L,19721012,,1000.0,HK0010000088,HKD
10,00011.HK,恒生银行,恒生银行有限公司,Hang Seng Bank Ltd.,HSYH,主板,L,19720620,,100.0,HK0011000095,HKD
11,00012.HK,恒基地产,恒基兆业地产有限公司,Henderson Land Development Co. Ltd.,HJDC,主板,L,19810723,,1000.0,HK0012000102,HKD
12,00013.HK,和黄医药,和黄医药(中国)有限公司,Hutchmed (China) Limited,HHYY,主板,L,20210630,,500.0,KYG4672N1198,HKD
13,00014.HK,希慎兴业,希慎兴业有限公司,Hysan Development Co. Ltd.,XSXY,主板,L,19810918,,1000.0,HK0014000126,HKD
14,00016.HK,新鸿基地产,新鸿基地产发展有限公司,Sun Hung Kai Properties Ltd.,XHJDC,主板,L,19720908,,500.0,HK0016000132,HKD
15,00017.HK,新世界发展,新世界发展有限公司,New World Development Co. Ltd.,XSJFZ,主板,L,19721123,,1000.0,HK0000608585,HKD
16,00018.HK,东方企控集团,东方企控集团有限公司,Oriental Enterprise Holdings Limited,DFQKJT,主板,L,19870817,,2000.0,HK0018000155,HKD
17,00019.HK,太古股份公司A,太古股份有限公司A,Swire Pacific Limited A,TGGFGSA,主板,L,19590414,,500.0,HK0019000162,HKD
18,00020.HK,商汤-W,商汤集团股份有限公司,SenseTime Group Inc.,STW,主板,L,20211230,,1000.0,KYG8062L1041,HKD
19,00021.HK,大中华控股,大中华控股(香港)有限公司,Great China Holdings (Hong Kong) Limited,DZHKG,主板,L,19540301,,5000.0,HK0000132420,HKD
20,00022.HK,茂盛控股,茂盛控股有限公司,Mexan Limited,MSKG,主板,L,19721214,,40000.0,BMG6051D1175,HKD
21,00023.HK,东亚银行,东亚银行有限公司,"The Bank of East Asia, Ltd.",DYYH,主板,L,19210101,,200.0,HK0023000190,HKD
22,00025.HK,CHEVALIER INT'L,其士国际集团有限公司,Chevalier International Holdings Ltd.,CHEVALIERINTL,主板,L,19841205,,2000.0,BMG2097Z1471,HKD
