,ts_code,ts_name,trade_type,t_unit,p_unit,min_change,price_limit,min_vol,max_vol,trade_mode,margin_rate,liq_rate,trade_time,list_date
0,Au99.95,黄金9995,现货实盘交易,1000.0,1.0,0.01,30.0,1,500,T+0,,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20061030
1,Au99.99,黄金9999,现货实盘交易,10.0,1.0,0.01,30.0,1,50000,T+0,,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20021030
2,Au(T+D),黄金延期,现货延期交收交易,1000.0,1.0,0.01,11.0,1,200,连续交易,12.0,6.0,上午:9:00 至 11:30，下午:13:30 至 15:30，夜间:19:50 至次日 02:30,20040816
3,Pt99.95,铂金9995,现货实盘交易,1000.0,1.0,0.01,30.0,1,1000,T+0,,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20030730
4,Ag(T+D),白银延期,现货延期交收交易,1000.0,2.0,1.0,15.0,1,2000,连续交易,16.0,6.0,上午:9:00 至 11:30，下午:13:30 至 15:30，夜间:19:50 至次日 02:30,20061030
5,Au100g,100克金条,现货实盘交易,100.0,1.0,0.01,30.0,1,1000,T+0,,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20061225
6,Au(T+N1),黄金T+N1,现货延期交收交易,100.0,1.0,0.05,11.0,1,2000,连续交易,12.0,6.0,上午:9:00 至 11:30，下午:13:30 至 15:30，夜间:19:50 至次日 02:30,20071105
7,Au(T+N2),黄金T+N2,现货延期交收交易,100.0,1.0,0.05,11.0,1,2000,连续交易,12.0,6.0,上午:9:00 至 11:30，下午:13:30 至 15:30，夜间:19:50 至次日 02:30,20071105
8,mAu(T+D),迷你黄金延期,现货延期交收交易,100.0,1.0,0.01,11.0,1,2000,连续交易,12.0,,上午:9:00 至 11:30，下午:13:30 至 15:30，夜间:19:50 至次日 02:30,20140102
9,iAu99.99,国际板黄金9999,现货实盘交易,10.0,1.0,0.01,30.0,1,50000,T+0,,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20140919
10,PGC30g,熊猫金币30克,现货实盘交易,30.0,1.0,0.01,30.0,1,1000,T+0,,,白天：9:00至15:30，夜间：20:00至次日02:30,20180912
11,NYAuTN06,沪纽金AuTN06,现货延期交收交易,100.0,1.0,0.05,11.0,1,2000,连续交易,12.0,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20191014
12,NYAuTN12,沪纽金AuTN12,现货延期交收交易,100.0,1.0,0.05,11.0,1,2000,连续交易,12.0,,白天：9:00至15:30，夜间:19:50 至次日 02:30,20191014
