index,0,1,2,3,4,5,6,7,8,9,10,11,12,benchmark,long_short
2018-04-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-26,0.9893963254593175,0.872755905511811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.872755905511811
2018-04-27,0.996737832436124,0.9731374538004177,1.0,1.0,0.9877165354330709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9731374538004177
2018-05-02,0.9979042680262756,0.9871346808822369,1.0,1.0,0.9877165354330709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871346808822369
2018-05-03,0.9980355793621284,0.9887104169124701,1.0,1.0,0.9877165354330709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887104169124701
2018-05-04,0.9980517312190158,0.9889042391951187,1.0,1.0,0.9877165354330709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889042391951187
2018-05-07,0.9980536323181016,0.9889270523841477,1.0,1.0,0.9877165354330709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889270523841477
