,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,bond_short_name,object,cb_basic,NA,,True,cb
1,rating_comp,object,cb_basic,NA,,False,cb
2,par,object,cb_basic,NA,,True,cb
3,rate_clause,object,cb_basic,NA,,True,cb
4,issue_price,object,cb_basic,NA,,True,cb
5,stk_short_name,object,cb_basic,NA,,True,cb
6,guarantee_type,object,cb_basic,NA,,False,cb
7,reset_clause,object,cb_basic,NA,,False,cb
8,maturity,object,cb_basic,NA,,True,cb
9,call_clause,object,cb_basic,NA,,False,cb
10,conv_price,object,cb_basic,NA,,True,cb
11,conv_stop_date,object,cb_basic,NA,,True,cb
12,add_rate,object,cb_basic,NA,,True,cb
13,conv_end_date,object,cb_basic,NA,,True,cb
14,conv_clause,object,cb_basic,NA,,False,cb
15,newest_rating,object,cb_basic,NA,,False,cb
16,maturity_put_price,object,cb_basic,NA,,False,cb
17,ts_code,object,cb_basic,NA,,True,cb
18,conv_start_date,object,cb_basic,NA,,True,cb
19,bond_full_name,object,cb_basic,NA,,True,cb
20,exchange,object,cb_basic,NA,,True,cb
21,delist_date,object,cb_basic,NA,,True,cb
22,remain_size,object,cb_basic,NA,,True,cb
23,cb_code,object,cb_basic,NA,,True,cb
24,stk_code,object,cb_basic,NA,,True,cb
25,guarantor,object,cb_basic,NA,,False,cb
26,coupon_rate,object,cb_basic,NA,,True,cb
27,list_date,object,cb_basic,NA,,True,cb
28,first_conv_price,object,cb_basic,NA,,True,cb
29,maturity_date,object,cb_basic,NA,,True,cb
30,put_clause,object,cb_basic,NA,,False,cb
31,pay_per_year,object,cb_basic,NA,,True,cb
32,issue_size,object,cb_basic,NA,,True,cb
33,value_date,object,cb_basic,NA,,True,cb
34,rate_type,object,cb_basic,NA,,True,cb
35,issue_rating,object,cb_basic,NA,,False,cb
36,shd_ration_record_date,object,cb_issue,NA,,True,cb
37,onl_pch_num,object,cb_issue,NA,,True,cb
38,issue_price,object,cb_issue,NA,,True,cb
39,shd_ration_excess,object,cb_issue,NA,,False,cb
40,offl_deposit,object,cb_issue,NA,,False,cb
41,shd_ration_vol,object,cb_issue,NA,,False,cb
42,lead_underwriter_vol,object,cb_issue,NA,,False,cb
43,shd_ration_date,object,cb_issue,NA,,True,cb
44,shd_ration_num,object,cb_issue,NA,,False,cb
45,shd_ration_price,object,cb_issue,NA,,True,cb
46,offl_pch_excess,object,cb_issue,NA,,False,cb
47,onl_pch_vol,object,cb_issue,NA,,True,cb
48,onl_code,object,cb_issue,NA,,True,cb
49,issue_size,object,cb_issue,NA,,True,cb
50,ts_code,object,cb_issue,NA,,True,cb
51,offl_size,object,cb_issue,NA,,True,cb
52,onl_name,object,cb_issue,NA,,True,cb
53,shd_ration_name,object,cb_issue,NA,,True,cb
54,offl_pch_num,object,cb_issue,NA,,False,cb
55,issue_cost,object,cb_issue,NA,,False,cb
56,offl_winning_rate,object,cb_issue,NA,,False,cb
57,shd_ration_pay_date,object,cb_issue,NA,,True,cb
58,offl_pch_vol,object,cb_issue,NA,,False,cb
59,res_ann_date,object,cb_issue,NA,,True,cb
60,shd_ration_size,object,cb_issue,NA,,True,cb
61,onl_pch_excess,object,cb_issue,NA,,True,cb
62,onl_size,object,cb_issue,NA,,True,cb
63,plan_issue_size,object,cb_issue,NA,,True,cb
64,ann_date,object,cb_issue,NA,,True,cb
65,shd_ration_ratio,object,cb_issue,NA,,True,cb
66,onl_winning_rate,object,cb_issue,NA,,False,cb
67,shd_ration_code,object,cb_issue,NA,,True,cb
68,onl_date,object,cb_issue,NA,,True,cb
69,issue_type,object,cb_issue,NA,,True,cb
70,lead_underwriter,object,cb_issue,NA,,False,cb
71,ts_code,object,cb_call,NA,,True,cb
72,call_type,object,cb_call,NA,,True,cb
73,is_call,object,cb_call,NA,,True,cb
74,ann_date,object,cb_call,NA,,True,cb
75,call_date,object,cb_call,NA,,True,cb
76,call_price,object,cb_call,NA,,True,cb
77,call_price_tax,object,cb_call,NA,,True,cb
78,call_vol,object,cb_call,NA,,True,cb
79,call_amount,object,cb_call,NA,,True,cb
80,payment_date,object,cb_call,NA,,True,cb
81,call_reg_date,object,cb_call,NA,,True,cb
82,coupon_rate,object,cb_rate,NA,,False,cb
83,rate_freq,object,cb_rate,NA,,False,cb
84,ts_code,object,cb_rate,NA,,True,cb
