,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,multiplier,float64,fut_basic,NA,,True,fut
1,fut_code,object,fut_basic,NA,,True,fut
2,per_unit,float64,fut_basic,NA,,True,fut
3,trade_unit,object,fut_basic,NA,,True,fut
4,ts_code,object,fut_basic,NA,,True,fut
5,d_month,object,fut_basic,NA,,True,fut
6,exchange,object,fut_basic,NA,,True,fut
7,name,object,fut_basic,NA,,True,fut
8,delist_date,object,fut_basic,NA,,True,fut
9,quote_unit,object,fut_basic,NA,,True,fut
10,trade_time_desc,object,fut_basic,NA,,False,fut
11,list_date,object,fut_basic,NA,,True,fut
12,symbol,object,fut_basic,NA,,True,fut
13,d_mode_desc,object,fut_basic,NA,,True,fut
14,quote_unit_desc,object,fut_basic,NA,,True,fut
15,last_ddate,object,fut_basic,NA,,True,fut
16,is_open,int64,trade_cal,NA,,True,fut
17,pretrade_date,object,trade_cal,NA,,False,fut
18,exchange,object,trade_cal,NA,,True,fut
19,cal_date,object,trade_cal,NA,,True,fut
20,change1,object,fut_daily,daily,,True,fut
21,open,object,fut_daily,daily,,True,fut
22,low,object,fut_daily,daily,,True,fut
23,close,object,fut_daily,daily,,True,fut
24,oi_chg,object,fut_daily,daily,,True,fut
25,ts_code,object,fut_daily,daily,,True,fut
26,delv_settle,object,fut_daily,daily,,False,fut
27,pre_settle,object,fut_daily,daily,,True,fut
28,amount,object,fut_daily,daily,,True,fut
29,change2,object,fut_daily,daily,,True,fut
30,oi,object,fut_daily,daily,,True,fut
31,trade_date,object,fut_daily,daily,,True,fut
32,high,object,fut_daily,daily,,True,fut
33,settle,object,fut_daily,daily,,True,fut
34,vol,object,fut_daily,daily,,True,fut
35,pre_close,object,fut_daily,daily,,True,fut
36,warehouse,object,fut_wsr,NA,,True,fut
37,pre_vol,float64,fut_wsr,NA,,True,fut
38,wh_id,object,fut_wsr,NA,,False,fut
39,grade,object,fut_wsr,NA,,False,fut
40,pd,float64,fut_wsr,NA,,False,fut
41,area,object,fut_wsr,NA,,False,fut
42,brand,object,fut_wsr,NA,,False,fut
43,exchange,object,fut_wsr,NA,,False,fut
44,year,float64,fut_wsr,NA,,False,fut
45,vol_chg,int64,fut_wsr,NA,,True,fut
46,symbol,object,fut_wsr,NA,,True,fut
47,unit,object,fut_wsr,NA,,True,fut
48,is_ct,object,fut_wsr,NA,,False,fut
49,trade_date,object,fut_wsr,NA,,True,fut
50,fut_name,object,fut_wsr,NA,,True,fut
51,place,object,fut_wsr,NA,,False,fut
52,vol,float64,fut_wsr,NA,,True,fut
53,ts_code,object,fut_settle,NA,,True,fut
54,exchange,object,fut_settle,NA,,False,fut
55,s_hedging_margin_rate,object,fut_settle,NA,,True,fut
56,delivery_fee,object,fut_settle,NA,,True,fut
57,trading_fee_rate,object,fut_settle,NA,,True,fut
58,trading_fee,object,fut_settle,NA,,True,fut
59,b_hedging_margin_rate,object,fut_settle,NA,,True,fut
60,long_margin_rate,object,fut_settle,NA,,True,fut
61,trade_date,object,fut_settle,NA,,True,fut
62,short_margin_rate,object,fut_settle,NA,,True,fut
63,settle,object,fut_settle,NA,,True,fut
64,offset_today_fee,object,fut_settle,NA,,False,fut
65,long_hld,float64,fut_holding,NA,,True,fut
66,long_chg,float64,fut_holding,NA,,True,fut
67,short_chg,float64,fut_holding,NA,,True,fut
68,exchange,object,fut_holding,NA,,False,fut
69,broker,object,fut_holding,NA,,True,fut
70,vol_chg,float64,fut_holding,NA,,True,fut
71,symbol,object,fut_holding,NA,,True,fut
72,short_hld,float64,fut_holding,NA,,True,fut
73,trade_date,object,fut_holding,NA,,True,fut
74,vol,float64,fut_holding,NA,,True,fut
75,ts_code,object,index_daily,daily,,True,fut
76,trade_date,object,index_daily,daily,,True,fut
77,close,object,index_daily,daily,,True,fut
78,open,object,index_daily,daily,,True,fut
79,high,object,index_daily,daily,,True,fut
80,low,object,index_daily,daily,,True,fut
81,pre_close,object,index_daily,daily,,True,fut
82,change,object,index_daily,daily,,True,fut
83,pct_chg,object,index_daily,daily,,True,fut
84,vol,object,index_daily,daily,,True,fut
85,amount,object,index_daily,daily,,True,fut
86,ts_code,object,fut_mapping,NA,,True,fut
87,trade_date,object,fut_mapping,NA,,True,fut
88,mapping_ts_code,object,fut_mapping,NA,,True,fut
89,exchange,object,fut_weekly_detail,weekly,,True,fut
90,prd,object,fut_weekly_detail,weekly,,True,fut
91,name,object,fut_weekly_detail,weekly,,True,fut
92,vol,float64,fut_weekly_detail,weekly,,True,fut
93,vol_yoy,float64,fut_weekly_detail,weekly,,True,fut
94,amount,float64,fut_weekly_detail,weekly,,True,fut
95,amout_yoy,float64,fut_weekly_detail,weekly,,True,fut
96,cumvol,float64,fut_weekly_detail,weekly,,True,fut
97,cumvol_yoy,float64,fut_weekly_detail,weekly,,True,fut
98,cumamt,float64,fut_weekly_detail,weekly,,True,fut
99,cumamt_yoy,float64,fut_weekly_detail,weekly,,True,fut
100,open_interest,float64,fut_weekly_detail,weekly,,True,fut
101,interest_wow,float64,fut_weekly_detail,weekly,,True,fut
102,mc_close,float64,fut_weekly_detail,weekly,,True,fut
103,close_wow,float64,fut_weekly_detail,weekly,,True,fut
104,week,object,fut_weekly_detail,weekly,,True,fut
105,week_date,object,fut_weekly_detail,weekly,,True,fut
