index,0
0,2018-04-02
1,2018-04-03
2,2018-04-04
3,2018-04-09
4,2018-04-10
5,2018-04-11
6,2018-04-12
7,2018-04-13
8,2018-04-16
9,2018-04-17
10,2018-04-18
11,2018-04-19
12,2018-04-20
13,2018-04-23
14,2018-04-24
15,2018-04-25
16,2018-04-26
17,2018-04-27
18,2018-05-02
19,2018-05-03
20,2018-05-04
21,2018-05-07
22,2018-05-08
23,2018-05-09
24,2018-05-10
25,2018-05-11
26,2018-05-14
27,2018-05-15
28,2018-05-16
29,2018-05-17
30,2018-05-18
31,2018-05-21
32,2018-05-22
33,2018-05-23
34,2018-05-24
35,2018-05-25
36,2018-05-28
37,2018-05-29
38,2018-05-30
39,2018-05-31
40,2018-06-01
41,2018-06-04
42,2018-06-05
43,2018-06-06
44,2018-06-07
45,2018-06-08
46,2018-06-11
47,2018-06-12
48,2018-06-13
49,2018-06-14
50,2018-06-15
51,2018-06-19
52,2018-06-20
53,2018-06-21
54,2018-06-22
55,2018-06-25
56,2018-06-26
57,2018-06-27
58,2018-06-28
59,2018-06-29
60,2018-07-02
61,2018-07-03
62,2018-07-04
63,2018-07-05
64,2018-07-06
65,2018-07-09
66,2018-07-10
67,2018-07-11
68,2018-07-12
69,2018-07-13
70,2018-07-16
71,2018-07-17
72,2018-07-18
73,2018-07-19
74,2018-07-20
75,2018-07-23
76,2018-07-24
77,2018-07-25
78,2018-07-26
79,2018-07-27
80,2018-07-30
81,2018-07-31
82,2018-08-01
83,2018-08-02
84,2018-08-03
85,2018-08-06
86,2018-08-07
87,2018-08-08
88,2018-08-09
89,2018-08-10
90,2018-08-13
91,2018-08-14
92,2018-08-15
93,2018-08-16
94,2018-08-17
95,2018-08-20
96,2018-08-21
97,2018-08-22
98,2018-08-23
99,2018-08-24
100,2018-08-27
101,2018-08-28
102,2018-08-29
103,2018-08-30
104,2018-08-31
