,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,opt_basic,NA,,True,opt
1,exchange,object,opt_basic,NA,,True,opt
2,name,object,opt_basic,NA,,True,opt
3,per_unit,object,opt_basic,NA,,True,opt
4,opt_code,object,opt_basic,NA,,True,opt
5,opt_type,object,opt_basic,NA,,True,opt
6,call_put,object,opt_basic,NA,,True,opt
7,exercise_type,object,opt_basic,NA,,True,opt
8,exercise_price,object,opt_basic,NA,,True,opt
9,s_month,object,opt_basic,NA,,True,opt
10,maturity_date,object,opt_basic,NA,,True,opt
11,list_price,object,opt_basic,NA,,True,opt
12,list_date,object,opt_basic,NA,,True,opt
13,delist_date,object,opt_basic,NA,,True,opt
14,last_edate,object,opt_basic,NA,,True,opt
15,last_ddate,object,opt_basic,NA,,True,opt
16,quote_unit,object,opt_basic,NA,,True,opt
17,min_price_chg,object,opt_basic,NA,,True,opt
18,ts_code,object,opt_daily,daily,,True,opt
19,trade_date,object,opt_daily,daily,,True,opt
20,exchange,object,opt_daily,daily,,True,opt
21,pre_settle,object,opt_daily,daily,,True,opt
22,pre_close,object,opt_daily,daily,,True,opt
23,open,object,opt_daily,daily,,True,opt
24,high,object,opt_daily,daily,,True,opt
25,low,object,opt_daily,daily,,True,opt
26,close,object,opt_daily,daily,,True,opt
27,settle,object,opt_daily,daily,,True,opt
28,vol,object,opt_daily,daily,,True,opt
29,amount,object,opt_daily,daily,,True,opt
30,oi,object,opt_daily,daily,,True,opt
