,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,classify,object,us_basic,NA,,True,us
1,list_date,object,us_basic,NA,,True,us
2,ts_code,object,us_basic,NA,,True,us
3,name,object,us_basic,NA,,True,us
4,delist_date,object,us_basic,NA,,True,us
5,enname,object,us_basic,NA,,False,us
6,cal_date,object,us_tradecal,NA,,True,us
7,is_open,int64,us_tradecal,NA,,True,us
8,pretrade_date,object,us_tradecal,NA,,True,us
9,close,object,us_daily,daily,,True,us
10,open,object,us_daily,daily,,True,us
11,low,object,us_daily,daily,,True,us
12,ts_code,object,us_daily,daily,,True,us
13,amount,object,us_daily,daily,,True,us
14,total_mv,object,us_daily,daily,,False,us
15,turnover_ratio,object,us_daily,daily,,False,us
16,vwap,object,us_daily,daily,,True,us
17,change,object,us_daily,daily,,False,us
18,pct_change,object,us_daily,daily,,True,us
19,trade_date,object,us_daily,daily,,True,us
20,high,object,us_daily,daily,,True,us
21,pe,object,us_daily,daily,,False,us
22,pb,object,us_daily,daily,,False,us
23,vol,object,us_daily,daily,,True,us
24,pre_close,object,us_daily,daily,,True,us
