,ts_code,name,enname,classify,list_date,delist_date
0,,,LENZ THERAPEUTICS INC DUMMY,EQ,,NaT
1,,,SOLVENTUM CORP DUMMY,EQ,,NaT
2,,,FFI HOLDINGS (OTC),EQ,20180606,NaT
3,,,WORTHINGTON STEEL DUMMY,EQ,,NaT
4,,,GE VERNOVA INC DUMMY,EQ,,NaT
5,,,DANIMER SCIENTIFIC INC. DUMMY,EQ,,NaT
6,,,DANIMER SCI INC (A) DUMMY,EQ,,NaT
7,,,NEXTRACKER DISTRIBUTION SHARES DUMMY,EQ,,NaT
8,,,YUMA INC PLACEHOLDER,EQ,,NaT
9,,,TKO GROUP HOLDINGS INC.-A DUMMY,EQ,,NaT
10,,,SAFEHOLD DUMMY,EQ,,NaT
11,,,MERRILL,EQ,,NaT
12,,,INGERSOLL-RAND CO LTD,EQ,,NaT
13,,,APARTMENT INV. & MAN. PLACEHOLDER,EQ,,NaT
14,,,GENERATION INCOME PROPS DS DUMMY,EQ,,NaT
15,,,WEATHERFORD INTL.,EQ,,NaT
16,,,ALEX.& BALDWIN TMPRY. PLACEHOLDER SCTY.,EQ,,NaT
17,,,POTLATCHDELTIC DUMMY,EQ,,NaT
18,,,SPECTRUM BRANDS DUMMY CODE,EQ,,NaT
19,,,ISTAR (DETACHED),EQ,,NaT
20,,,SLG DIVIDEND DUMMY,EQ,,NaT
21,,,SL GREEN RLTY DUMMY,EQ,,NaT
22,,,PARK HOTELS & RESORTS DUMMY,EQ,,NaT
23,,,WABTEC DISTRIBUTION (DUMMY),EQ,,NaT
24,,,IBIDEN UNSP.ADR,ADR,,NaT
25,,,APARTMENT INV.& MAN. DUMMY,EQ,,NaT
26,,,MODIV INDUSTRIAL C (DET) DUMMY,EQ,,NaT
27,,,COLUMBIA BANKING SYSTEM DUMMY,EQ,,NaT
28,,,AMERICA MOVIL DUMMY,EQ,,NaT
29,,,MINK THERAPEUTICS DISTRI DUMMY,EQ,,NaT
30,,,KELLANOVA DUMMY,EQ,,NaT
31,,,CENTRAL GARDEN AND PET C DUMMY,EQ,,NaT
32,,,NCR ATLEOS DUMMY,EQ,,NaT
33,,,LIBERTY FORMULA 1 CL A D DUMMY,EQ,,NaT
34,,,LIBERTY FORMULA 1 CL C D DUMMY,EQ,,NaT
35,,,INHIBRX BIOSCIENCE DUMMY,EQ,,NaT
36,,,DIG.TRNSF.OPPS.UTS.,EQ,20210310,NaT
37,A,,AGILENT TECHS.,EQ,19991118,NaT
38,AA,,ALCOA,EQ,20161031,NaT
39,AAALY,,AAREAL BANK ADR 1:1,EQ,20150129,NaT
40,AABB,,ASIA BROADBAND,EQ,20010111,NaT
41,AABKF,,AAREAL BANK N (OTC),EQ,20140113,NaT
42,AABVF,,ABERDEEN INTL. (OTC),EQ,19600101,NaT
43,AAC,,ARES ACQUISITION A,EQ,20210325,
44,AAC.U,,ARES ACQUISITION UNITS,EQ,20210202,
45,AACAF,,AAC TECHS.HDG. (OTC),EQ,20050722,NaT
46,AACAY,,AAC TECHNOLOGIES HOLDINGS ADR 1:1,ADR,20081015,NaT
47,AACG,,ATA CREATIVITY GLOBAL ADR 1:2,ADR,20080128,NaT
48,AACI,,ARMADA ACQUISITION I,EQ,20211110,NaT
49,AACIU,,ARMADA ACQUISITION I UNITS,EQ,20210813,NaT
50,AACIW,,ARMADA ACQ.I EQ. WARRT. EXP 13TH AUG 2026,EQ,20211111,NaT
51,AACS,,AMER.COM.SLTN.,EQ,20030616,NaT
52,AACT,,ARES ACQUISITION,EQ,20230612,NaT
53,AACT.U,,ARES ACQUISITION UNITS A,EQ,20230421,NaT
54,AACTF,,AURORA SOLAR TECHS.(OTC),EQ,20131002,NaT
55,AADI,,AADI BIOSCIENCE,EQ,20170808,NaT
56,AAEEF,,ALTAIR RESOURCES (OTC),EQ,20120123,NaT
57,AAFRF,,AIRTEL AFRICA (OTC),EQ,20220222,NaT
58,AAGC,,ALL AMERICAN GOLD,EQ,20100910,NaT
59,AAGEF,,AAG ENERGY HOLDINGS(OTC),EQ,20180830,
60,AAGFF,,AFTERMATH SILVER (OTC),EQ,20110816,NaT
61,AAGH,,AMERICA GREAT HEALTH,EQ,20120925,NaT
62,AAGIY,,AIA GROUP ADR 1:4,ADR,20110228,NaT
63,AAGR,,AFRICAN AGRICULTURE HOLDINGS,EQ,20211005,NaT
64,AAGRW,,AFN.AGRIC.HDG.EQ. WARRT. EXP 6 DC.2028,EQ,20211003,NaT
65,AAGRY,,ASTRA AGRO LESTARI TBK PT UNSP.INDO.ADR 1:5,ADR,20140328,NaT
66,AAIC,,ARLINGTON ASSET INVESTMENT A,EQ,19971223,
67,AAICPRC,,ARLINGTON ASN.8.250 CUM. RED.PREF. SR.C,EQ,20190306,
