,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,fund_basic,NA,,True,fund
1,name,object,fund_basic,NA,,True,fund
2,management,object,fund_basic,NA,,True,fund
3,custodian,object,fund_basic,NA,,True,fund
4,fund_type,object,fund_basic,NA,,True,fund
5,found_date,object,fund_basic,NA,,True,fund
6,due_date,object,fund_basic,NA,,True,fund
7,list_date,object,fund_basic,NA,,True,fund
8,issue_date,object,fund_basic,NA,,True,fund
9,delist_date,object,fund_basic,NA,,True,fund
10,issue_amount,object,fund_basic,NA,,True,fund
11,m_fee,object,fund_basic,NA,,True,fund
12,c_fee,object,fund_basic,NA,,True,fund
13,duration_year,object,fund_basic,NA,,True,fund
14,p_value,object,fund_basic,NA,,True,fund
15,min_amount,object,fund_basic,NA,,True,fund
16,exp_return,object,fund_basic,NA,,True,fund
17,benchmark,object,fund_basic,NA,,True,fund
18,status,object,fund_basic,NA,,True,fund
19,invest_type,object,fund_basic,NA,,True,fund
20,type,object,fund_basic,NA,,True,fund
21,trustee,object,fund_basic,NA,,True,fund
22,purc_startdate,object,fund_basic,NA,,True,fund
23,redm_startdate,object,fund_basic,NA,,True,fund
24,market,object,fund_basic,NA,,True,fund
25,shortname,object,fund_company,NA,,True,fund
26,name,object,fund_company,NA,,True,fund
27,city,object,fund_company,NA,,True,fund
28,setup_date,object,fund_company,NA,,True,fund
29,phone,object,fund_company,NA,,True,fund
30,end_date,object,fund_company,NA,,True,fund
31,province,object,fund_company,NA,,True,fund
32,chairman,object,fund_company,NA,,True,fund
33,short_enname,object,fund_company,NA,,False,fund
34,address,object,fund_company,NA,,True,fund
35,org_code,object,fund_company,NA,,True,fund
36,manager,object,fund_company,NA,,True,fund
37,employees,float64,fund_company,NA,,True,fund
38,credit_code,object,fund_company,NA,,True,fund
39,reg_capital,float64,fund_company,NA,,True,fund
40,office,object,fund_company,NA,,True,fund
41,main_business,object,fund_company,NA,,True,fund
42,website,object,fund_company,NA,,True,fund
43,ts_code,object,fund_manager,NA,,True,fund
44,ann_date,object,fund_manager,NA,,True,fund
45,name,object,fund_manager,NA,,True,fund
46,gender,object,fund_manager,NA,,True,fund
47,birth_year,object,fund_manager,NA,,True,fund
48,edu,object,fund_manager,NA,,True,fund
49,nationality,object,fund_manager,NA,,True,fund
50,begin_date,object,fund_manager,NA,,True,fund
51,end_date,object,fund_manager,NA,,True,fund
52,resume,object,fund_manager,NA,,True,fund
53,ts_code,object,fund_share,NA,,True,fund
54,trade_date,object,fund_share,NA,,True,fund
55,fd_share,object,fund_share,NA,,True,fund
56,fund_type,object,fund_share,NA,,True,fund
57,market,object,fund_share,NA,,True,fund
58,ts_code,object,fund_nav,NA,,True,fund
59,ann_date,object,fund_nav,NA,,True,fund
60,nav_date,object,fund_nav,NA,,True,fund
61,unit_nav,object,fund_nav,NA,,True,fund
62,accum_nav,object,fund_nav,NA,,True,fund
63,accum_div,object,fund_nav,NA,,True,fund
64,net_asset,object,fund_nav,NA,,True,fund
65,total_netasset,object,fund_nav,NA,,True,fund
66,adj_nav,object,fund_nav,NA,,True,fund
67,update_flag,object,fund_nav,NA,,True,fund
68,ts_code,object,fund_div,NA,,True,fund
69,ann_date,object,fund_div,NA,,True,fund
70,imp_anndate,object,fund_div,NA,,True,fund
71,base_date,object,fund_div,NA,,True,fund
72,div_proc,object,fund_div,NA,,True,fund
73,record_date,object,fund_div,NA,,True,fund
74,ex_date,object,fund_div,NA,,True,fund
75,pay_date,object,fund_div,NA,,True,fund
76,earpay_date,object,fund_div,NA,,True,fund
77,net_ex_date,object,fund_div,NA,,True,fund
78,div_cash,object,fund_div,NA,,True,fund
79,base_unit,object,fund_div,NA,,True,fund
80,ear_distr,object,fund_div,NA,,True,fund
81,ear_amount,object,fund_div,NA,,True,fund
82,account_date,object,fund_div,NA,,True,fund
83,base_year,object,fund_div,NA,,True,fund
84,ts_code,object,fund_portfolio,NA,,True,fund
85,ann_date,object,fund_portfolio,NA,,True,fund
86,end_date,object,fund_portfolio,NA,,True,fund
87,symbol,object,fund_portfolio,NA,,True,fund
88,mkv,object,fund_portfolio,NA,,True,fund
89,amount,object,fund_portfolio,NA,,True,fund
90,stk_mkv_ratio,object,fund_portfolio,NA,,True,fund
91,stk_float_ratio,object,fund_portfolio,NA,,True,fund
92,ts_code,object,fund_daily,daily,,True,fund
93,trade_date,object,fund_daily,daily,,True,fund
94,pre_close,object,fund_daily,daily,,True,fund
95,open,object,fund_daily,daily,,True,fund
96,high,object,fund_daily,daily,,True,fund
97,low,object,fund_daily,daily,,True,fund
98,close,object,fund_daily,daily,,True,fund
99,change,object,fund_daily,daily,,True,fund
100,pct_chg,object,fund_daily,daily,,True,fund
101,vol,object,fund_daily,daily,,True,fund
102,amount,object,fund_daily,daily,,True,fund
103,ts_code,object,fund_adj,NA,,True,fund
104,trade_date,object,fund_adj,NA,,True,fund
105,adj_factor,object,fund_adj,NA,,True,fund
