,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,fx_obasic,NA,,True,fx
1,name,object,fx_obasic,NA,,True,fx
2,classify,object,fx_obasic,NA,,True,fx
3,exchange,object,fx_obasic,NA,,True,fx
4,min_unit,object,fx_obasic,NA,,True,fx
5,max_unit,object,fx_obasic,NA,,True,fx
6,pip,object,fx_obasic,NA,,True,fx
7,pip_cost,object,fx_obasic,NA,,True,fx
8,traget_spread,object,fx_obasic,NA,,True,fx
9,min_stop_distance,object,fx_obasic,NA,,True,fx
10,trading_hours,object,fx_obasic,NA,,True,fx
11,break_time,object,fx_obasic,NA,,True,fx
12,ask_high,object,fx_daily,daily,,True,fx
13,ts_code,object,fx_daily,daily,,True,fx
14,ask_close,object,fx_daily,daily,,True,fx
15,tick_qty,object,fx_daily,daily,,True,fx
16,exchange,object,fx_daily,daily,,False,fx
17,bid_low,object,fx_daily,daily,,True,fx
18,bid_high,object,fx_daily,daily,,True,fx
19,bid_close,object,fx_daily,daily,,True,fx
20,bid_open,object,fx_daily,daily,,True,fx
21,ask_low,object,fx_daily,daily,,True,fx
22,trade_date,object,fx_daily,daily,,True,fx
23,ask_open,object,fx_daily,daily,,True,fx
