,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,hk_basic,NA,,True,hk
1,name,object,hk_basic,NA,,True,hk
2,fullname,object,hk_basic,NA,,True,hk
3,enname,object,hk_basic,NA,,True,hk
4,cn_spell,object,hk_basic,NA,,True,hk
5,market,object,hk_basic,NA,,True,hk
6,list_status,object,hk_basic,NA,,True,hk
7,list_date,object,hk_basic,NA,,True,hk
8,delist_date,object,hk_basic,NA,,True,hk
9,trade_unit,object,hk_basic,NA,,True,hk
10,isin,object,hk_basic,NA,,True,hk
11,curr_type,object,hk_basic,NA,,True,hk
12,cal_date,object,hk_tradecal,NA,,True,hk
13,is_open,int64,hk_tradecal,NA,,True,hk
14,pretrade_date,object,hk_tradecal,NA,,True,hk
15,ts_code,object,hk_daily,daily,,True,hk
16,trade_date,object,hk_daily,daily,,True,hk
17,open,object,hk_daily,daily,,True,hk
18,high,object,hk_daily,daily,,True,hk
19,low,object,hk_daily,daily,,True,hk
20,close,object,hk_daily,daily,,True,hk
21,pre_close,object,hk_daily,daily,,True,hk
22,change,object,hk_daily,daily,,True,hk
23,pct_chg,object,hk_daily,daily,,True,hk
24,vol,object,hk_daily,daily,,True,hk
25,amount,object,hk_daily,daily,,True,hk
