,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,sge_basic,NA,,True,sge
1,ts_name,object,sge_basic,NA,,True,sge
2,trade_type,object,sge_basic,NA,,True,sge
3,t_unit,object,sge_basic,NA,,True,sge
4,p_unit,object,sge_basic,NA,,True,sge
5,min_change,object,sge_basic,NA,,True,sge
6,price_limit,object,sge_basic,NA,,True,sge
7,min_vol,object,sge_basic,NA,,True,sge
8,max_vol,object,sge_basic,NA,,True,sge
9,trade_mode,object,sge_basic,NA,,True,sge
10,margin_rate,object,sge_basic,NA,,True,sge
11,liq_rate,object,sge_basic,NA,,True,sge
12,trade_time,object,sge_basic,NA,,True,sge
13,list_date,object,sge_basic,NA,,True,sge
14,ts_code,object,sge_daily,daily,,True,sge
15,trade_date,object,sge_daily,daily,,True,sge
16,close,object,sge_daily,daily,,True,sge
17,open,object,sge_daily,daily,,True,sge
18,high,object,sge_daily,daily,,True,sge
19,low,object,sge_daily,daily,,True,sge
20,price_avg,object,sge_daily,daily,,True,sge
21,change,object,sge_daily,daily,,True,sge
22,pct_change,object,sge_daily,daily,,True,sge
23,vol,object,sge_daily,daily,,True,sge
24,amount,object,sge_daily,daily,,True,sge
25,oi,object,sge_daily,daily,,True,sge
26,settle_vol,object,sge_daily,daily,,True,sge
27,settle_dire,object,sge_daily,daily,,True,sge
